cohort,model,prior_wave,landmark_wave,prior_year,landmark_year,outcome_year,history_horizon_years,prediction_horizon_years,primary_horizon,interval_class,evaluation_weighting,persons,records,events,event_rate,mean_prediction,auc,brier,calibration_intercept,calibration_slope
HRS,M0,13,14,2016,2018,2020,2,2,TRUE,primary_2to3_year,unweighted,6360,6360,555,0.0872641509433962,0.170641383008719,0.620524865951223,0.0858060111894261,-0.786913255550062,0.955989317584443
HRS,M0,14,15,2018,2020,2022,2,2,TRUE,primary_2to3_year,unweighted,5757,5757,548,0.0951884662150426,0.170668846720474,0.609799960203634,0.0910299892661245,-0.689611150233581,0.892763408295048
HRS,M0,3,4,1996,1998,2000,2,2,TRUE,primary_2to3_year,unweighted,5472,5472,502,0.0917397660818713,0.162121400258904,0.659512052394046,0.0853530489518404,-0.668065871289987,1.24867303295294
HRS,M0,2,3,1994,1996,1998,2,2,TRUE,primary_2to3_year,unweighted,2674,2674,411,0.153702318623785,0.216133818359789,0.620599230399541,0.130432097689355,-0.424550174844334,1.33593823623007
HRS,M1,4,5,1998,2000,2002,2,2,TRUE,primary_2to3_year,unweighted,7250,7250,671,0.092551724137931,0.104434036017121,0.755248318669188,0.0764036855215651,-0.144080113852228,1.13035030906353
HRS,M1,5,6,2000,2002,2004,2,2,TRUE,primary_2to3_year,unweighted,7351,7351,677,0.0920963134267447,0.109924823966576,0.755386541569414,0.0762088175346209,-0.212231196652672,1.17101147265915
HRS,M1,6,7,2002,2004,2006,2,2,TRUE,primary_2to3_year,unweighted,7266,7266,696,0.0957886044591247,0.112562130199234,0.749528617540545,0.0799978296042884,-0.193764520953055,1.1112934618688
HRS,M1,7,8,2004,2006,2008,2,2,TRUE,primary_2to3_year,unweighted,7110,7110,686,0.0964838255977497,0.118165315459918,0.75904679608901,0.0796912022702476,-0.24535957247877,1.17430880343744
HRS,M1,8,9,2006,2008,2010,2,2,TRUE,primary_2to3_year,unweighted,6877,6877,756,0.109931656245456,0.117985378235946,0.718933928560624,0.0905753990246829,-0.0859757034277978,1.02335375865825
HRS,M1,9,10,2008,2010,2012,2,2,TRUE,primary_2to3_year,unweighted,6905,6905,599,0.0867487328023172,0.119845673995678,0.741918685704634,0.074748740064643,-0.386965621224832,1.10365919596447
HRS,M1,10,11,2010,2012,2014,2,2,TRUE,primary_2to3_year,unweighted,7307,7307,703,0.096209114547694,0.116765650521835,0.752563212260684,0.0803791581663268,-0.233819050264427,1.12467471371247
HRS,M1,11,12,2012,2014,2016,2,2,TRUE,primary_2to3_year,unweighted,7048,7048,692,0.0981838819523269,0.117102439600352,0.736171070437291,0.0823019934018796,-0.213525701847991,1.02753310259924
HRS,M1,12,13,2014,2016,2018,2,2,TRUE,primary_2to3_year,unweighted,6564,6564,570,0.086837294332724,0.115766966497235,0.737139332314771,0.0754289932692492,-0.344785607596829,1.0015809085105
HRS,M1,13,14,2016,2018,2020,2,2,TRUE,primary_2to3_year,unweighted,6360,6360,555,0.0872641509433962,0.113928605788812,0.774460817406554,0.0726755344947463,-0.320190523576959,1.22808289627515
HRS,M1,14,15,2018,2020,2022,2,2,TRUE,primary_2to3_year,unweighted,5757,5757,548,0.0951884662150426,0.111202005052796,0.737820595460132,0.0808655567746527,-0.187186402438591,1.02604216583009
HRS,M1,3,4,1996,1998,2000,2,2,TRUE,primary_2to3_year,unweighted,5472,5472,502,0.0917397660818713,0.10882593883914,0.755168260559372,0.0767306472345297,-0.204822195465634,1.07525748641584
