cohort,variable,variable_label,class
ELSA,r5iwstat,r5iwstat:w5 r interview status,haven_labelled;vctrs_vctr;double
ELSA,r5momage,r5momage:w5 R mother age current/at death,numeric
ELSA,r6dadage,r6dadage:w6 R father age current/at death,numeric
ELSA,r6fvc_e,r6fvc_e:w6 r maximum lung function forced vital capacity,numeric
ELSA,r6iwstat,r6iwstat:w6 r interview status,haven_labelled;vctrs_vctr;double
ELSA,r6momage,r6momage:w6 R mother age current/at death,numeric
ELSA,r7dadage,r7dadage:w7 R father age current/at death,numeric
ELSA,r7iwstat,r7iwstat:w7 r interview status,haven_labelled;vctrs_vctr;double
ELSA,r7momage,r7momage:w7 R mother age current/at death,numeric
ELSA,r8dadage,r8dadage:w8 R father age current/at death,numeric
ELSA,r8iwstat,r8iwstat:w8 r interview status,haven_labelled;vctrs_vctr;double
ELSA,r8momage,r8momage:w8 R mother age current/at death,numeric
ELSA,r9dadage,r9dadage:w9 R father age current/at death,numeric
ELSA,r9iwstat,r9iwstat:w9 r interview status,haven_labelled;vctrs_vctr;double
ELSA,r9momage,r9momage:w9 R mother age current/at death,numeric
ELSA,s10dadage,s10dadage:w10 S father age current/at death,numeric
ELSA,s10iwstat,s10iwstat:w10 s interview status,haven_labelled;vctrs_vctr;double
ELSA,s10momage,s10momage:w10 S mother age current/at death,numeric
ELSA,s1dadage,s1dadage:w1 S father age current/at death,numeric
ELSA,s1iwstat,s1iwstat:w1 s interview status,haven_labelled;vctrs_vctr;double
ELSA,s1momage,s1momage:w1 S mother age current/at death,numeric
ELSA,s2dadage,s2dadage:w2 S father age current/at death,numeric
ELSA,s2fvc,s2fvc:w2 s maximum lung function forced vital capacity,numeric
ELSA,s2fvc1,s2fvc1:w2 s lung function forced vital capacity 1,numeric
ELSA,s2fvc2,s2fvc2:w2 s lung function forced vital capacity 2,numeric
ELSA,s2fvc3,s2fvc3:w2 s lung function forced vital capacity 3,numeric
ELSA,s2iwstat,s2iwstat:w2 s interview status,haven_labelled;vctrs_vctr;double
ELSA,s2momage,s2momage:w2 S mother age current/at death,numeric
ELSA,s3dadage,s3dadage:w3 S father age current/at death,numeric
ELSA,s3iwstat,s3iwstat:w3 s interview status,haven_labelled;vctrs_vctr;double
ELSA,s3momage,s3momage:w3 S mother age current/at death,numeric
ELSA,s4dadage,s4dadage:w4 S father age current/at death,numeric
ELSA,s4fvc,s4fvc:w4 s maximum lung function forced vital capacity,numeric
ELSA,s4fvc1,s4fvc1:w4 s lung function forced vital capacity 1,numeric
ELSA,s4fvc2,s4fvc2:w4 s lung function forced vital capacity 2,numeric
ELSA,s4fvc3,s4fvc3:w4 s lung function forced vital capacity 3,numeric
ELSA,s4iwstat,s4iwstat:w4 s interview status,haven_labelled;vctrs_vctr;double
ELSA,s4momage,s4momage:w4 S mother age current/at death,numeric
ELSA,s5dadage,s5dadage:w5 S father age current/at death,numeric
ELSA,s5iwstat,s5iwstat:w5 s interview status,haven_labelled;vctrs_vctr;double
ELSA,s5momage,s5momage:w5 S mother age current/at death,numeric
ELSA,s6dadage,s6dadage:w6 S father age current/at death,numeric
ELSA,s6fvc_e,s6fvc_e:w6 s maximum lung function forced vital capacity,numeric
ELSA,s6iwstat,s6iwstat:w6 s interview status,haven_labelled;vctrs_vctr;double
ELSA,s6momage,s6momage:w6 S mother age current/at death,numeric
ELSA,s7dadage,s7dadage:w7 S father age current/at death,numeric
ELSA,s7iwstat,s7iwstat:w7 s interview status,haven_labelled;vctrs_vctr;double
ELSA,s7momage,s7momage:w7 S mother age current/at death,numeric
ELSA,s8dadage,s8dadage:w8 S father age current/at death,numeric
ELSA,s8iwstat,s8iwstat:w8 s interview status,haven_labelled;vctrs_vctr;double
ELSA,s8momage,s8momage:w8 S mother age current/at death,numeric
ELSA,s9dadage,s9dadage:w9 S father age current/at death,numeric
ELSA,s9iwstat,s9iwstat:w9 s interview status,haven_labelled;vctrs_vctr;double
ELSA,s9momage,s9momage:w9 S mother age current/at death,numeric
HRS,h10afmort,h10afmort:w10 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h10amort,h10amort:w10 assets:total mortgage--cross-wave,numeric
HRS,h11afmort,h11afmort:w11 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h11amort,h11amort:w11 assets:total mortgage--cross-wave,numeric
HRS,h12afmort,h12afmort:w12 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h12amort,h12amort:w12 assets:total mortgage--cross-wave,numeric
HRS,h13afmort,h13afmort:w13 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h13amort,h13amort:w13 assets:total mortgage--cross-wave,numeric
HRS,h14afmort,h14afmort:w14 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h14amort,h14amort:w14 assets:total mortgage--cross-wave,numeric
HRS,h15afmort,h15afmort:w15 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h15amort,h15amort:w15 assets:total mortgage--cross-wave,numeric
HRS,h16afmort,h16afmort:w16 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h16amort,h16amort:w16 assets:total mortgage--cross-wave,numeric
HRS,h1afmort,h1afmort:w1 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h1amort,h1amort:w1 assets:total mortgage--cross-wave,numeric
HRS,h2afmort,h2afmort:w2 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h2amort,h2amort:w2 assets:total mortgage--cross-wave,numeric
HRS,h3afmort,h3afmort:w3 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h3amort,h3amort:w3 assets:total mortgage--cross-wave,numeric
HRS,h4afmort,h4afmort:w4 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h4amort,h4amort:w4 assets:total mortgage--cross-wave,numeric
HRS,h5afmort,h5afmort:w5 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
