riskset_type,heldout,model,repetitions,event_rate_median,event_rate_lower_95,event_rate_upper_95,mean_prediction_median,mean_prediction_lower_95,mean_prediction_upper_95,auc_median,auc_lower_95,auc_upper_95,brier_median,brier_lower_95,brier_upper_95,calibration_intercept_median,calibration_intercept_lower_95,calibration_intercept_upper_95,calibration_slope_median,calibration_slope_lower_95,calibration_slope_upper_95
two_wave,MHAS,M1,300,0.15028680978348935,0.14310116419445745,0.15847406999138774,0.2618739372217872,0.25779818660241505,0.26541704198230054,0.7023678720938618,0.6844545996539533,0.7175767877150443,0.13567188837313393,0.1319754655394077,0.13997837125732504,-0.7885864827363295,-0.8518612354700129,-0.7189118061972554,0.8338299009328574,0.7544009053273059,0.906803456262532
two_wave,MHAS,M1_MINUS_M0,300,0.0,0.0,0.0,0.13123388044085205,0.12786756063624477,0.13439642895052384,0.06381205681970625,0.0473088701903576,0.08113900225892637,0.01127548113292156,0.007022153163643657,0.015115813906740255,0.6243656294832224,0.49574855949457886,0.7444326744474307,-0.5289319661133863,-0.7413305849248565,-0.2664771008550071
one_wave,CHARLS,M0,300,0.24079588046331984,0.233296762896085,0.24956523424508523,0.11529978503104704,0.11428053678093845,0.11638208588780245,0.6128252086291641,0.6001271326877873,0.6243921397955531,0.19379490252070888,0.18783459181942114,0.20037237184977646,0.9178260935134145,0.8753520675921077,0.96467151865295,0.9362068636721826,0.8319255297396491,1.0372961168193844
one_wave,CHARLS,M1,300,0.24079588046331984,0.233296762896085,0.24956523424508523,0.1308154265363981,0.12901603922826257,0.13308756928546217,0.6877573871941988,0.6762345818835152,0.6997128937441871,0.18101445663731194,0.1750890143320679,0.18677917232646324,0.8152632105633022,0.7704063979787472,0.8630368417028942,0.9463643273690558,0.8813625358941974,1.0171808446955057
one_wave,CHARLS,M1_MINUS_M0,300,0.0,0.0,0.0,0.015549478973760252,0.013864183533373807,0.017205205314823665,0.07534097144698387,0.06326872612532941,0.08857647059841961,-0.013085369414310627,-0.014622229616113406,-0.011697513843870248,-0.10284043804037168,-0.11795135930227019,-0.08863636057298258,-0.010992069878853206,-0.10032851698191354,0.06314233462069377
one_wave,HRS,M0,300,0.11981917552491948,0.11786250339068235,0.12215227993692704,0.2020780436922747,0.20118063672546477,0.20292646107960519,0.6241765039704772,0.6190039055943664,0.6294969367252947,0.10988293539944259,0.1087294259967,0.11126159249469442,-0.6392985087393837,-0.6596652291319584,-0.6166299890696035,1.006260679436589,0.9642923149985532,1.0472477699582816
one_wave,HRS,M1,300,0.11981917552491948,0.11786250339068235,0.12215227993692704,0.15706939051486835,0.15566024408456822,0.15829508319316415,0.7513285715392284,0.7462928298035358,0.755928125204341,0.09705391138042412,0.09574638573132055,0.09853593437644123,-0.35109024275721934,-0.37318250822893206,-0.3270119095563223,1.014598643219939,0.9865984589893201,1.0418479856907021
one_wave,HRS,M1_MINUS_M0,300,0.0,0.0,0.0,-0.04501930919864547,-0.04625868321975691,-0.0436905550172773,0.1270200391105339,0.12172181283291283,0.13254595860586385,-0.01285884702952346,-0.013511037836591747,-0.012210940077553415,-0.28862832362473373,-0.298702558996869,-0.27909307869315114,-0.0010379626193509073,-0.03994288931782889,0.027654190261461147
one_wave,ELSA,M0,300,0.12569331386925217,0.12205736019610368,0.1292243257298465,0.18273989224341164,0.1815841210882138,0.18391282145297952,0.637006773417254,0.6274262285893627,0.6471088987979573,0.10939768502401939,0.10709636014716098,0.11148746963126152,-0.45059251231967945,-0.4841186719594302,-0.4195378705226613,1.3762428295012126,1.2841500274005215,1.4748009008983574
one_wave,ELSA,M1,300,0.12569331386925217,0.12205736019610368,0.1292243257298465,0.11311763150402157,0.11132926730586545,0.11492065995534569,0.7609529938325417,0.7534306498754482,0.767853655320842,0.09773748251068774,0.09517421340060246,0.10027667428465081,0.13322523539955106,0.10216627128158484,0.16784249268723206,1.0471407278844578,1.009677284444134,1.079865408204373
one_wave,ELSA,M1_MINUS_M0,300,0.0,0.0,0.0,-0.06959455680127616,-0.07101930978331926,-0.06804648619389952,0.12415561273127235,0.11569709860666867,0.13252560766137514,-0.011632646459203838,-0.01238280255639236,-0.010784225257668058,-0.3174033012343572,-0.38068835465123413,-0.2530185610321765,-0.32932129980443503,-0.4138867720394033,-0.24249574964438034
one_wave,MHAS,M0,300,0.16918253917271214,0.16424732230520597,0.17537183096157113,0.1590601731376009,0.1583782701802097,0.15981084791710243,0.647257476982064,0.6367073736133986,0.6565656240063215,0.13565351285796728,0.13203681677024506,0.1396875497940199,0.07473588550649947,0.04125439060929,0.11732603764389148,1.7503074598453812,1.6358619780256898,1.8654856445682124
one_wave,MHAS,M1,300,0.16918253917271214,0.16424732230520597,0.17537183096157113,0.2811724643133268,0.2779942652137814,0.2842373218353439,0.7200831061344768,0.712342108633117,0.7278784577757733,0.14347203513334778,0.1407583794144643,0.14604349975406505,-0.7568311905637679,-0.7941670127066552,-0.7152208813363442,0.8747553950296394,0.8363708881272063,0.9135063445336103
one_wave,MHAS,M1_MINUS_M0,300,0.0,0.0,0.0,0.12204810029154443,0.11921770758662861,0.125118017164393,0.07276630254358935,0.0610021751426969,0.08258253222276889,0.007886962002219902,0.005262480610641443,0.010330882955912236,0.6818354935985931,0.6001851886484433,0.7544717321688209,-0.6260099866213833,-0.7538295059420657,-0.5037350330696877
