cohort,outer_split,method,calibration_fraction_total_persons,inner_attempts,inner_successes,fit_success_rate,total_persons,evaluation_persons,evaluation_records,evaluation_events,median_calibration_persons,median_calibration_records,median_calibration_events,median_calibration_event_persons,median_auc,median_brier,median_delta_brier_vs_raw,median_citl,median_abs_citl,median_slope,median_abs_slope_error,proportion_abs_citl_le_0_20,proportion_brier_within_plus_0_001,proportion_brier_improved,descriptive_tolerance_met
CHARLS,26,intercept_only,0.3,100,100,1.0,3915,1566,1566,316,1174.0,1174.0,236.0,236.0,0.6884075949367089,0.14554600619740432,-0.010526432564846908,0.036722414635486034,0.044451718129348936,1.008386760887475,0.008386760887475031,1.0,1.0,1.0,True
CHARLS,26,intercept_only,0.4,100,100,1.0,3915,1566,1566,316,1566.0,1566.0,313.5,313.5,0.6884075949367089,0.14554886843936826,-0.010523570322882966,0.04350738617617553,0.04450358591295654,1.008386760887475,0.008386760887475031,1.0,1.0,1.0,True
CHARLS,26,intercept_only,0.5,100,100,1.0,3915,1566,1566,316,1957.0,1957.0,392.0,392.0,0.6884075949367089,0.14555705027208524,-0.010515388490165978,0.04773825577144937,0.04773825577144937,1.008386760887475,0.008386760887475031,1.0,1.0,1.0,True
CHARLS,26,intercept_only,0.6,100,100,1.0,3915,1566,1566,316,2349.0,2349.0,471.0,471.0,0.6884075949367089,0.1455523530208107,-0.010520085741440505,0.045807412840419996,0.045807412840419996,1.008386760887475,0.008386760887475031,1.0,1.0,1.0,True
CHARLS,26,none,0.0,1,1,1.0,3915,1566,1566,316,0.0,0.0,0.0,0.0,0.6884075949367089,0.15607243876225121,0.0,0.7740208501209568,0.7740208501209568,1.008386760887475,0.008386760887475031,0.0,1.0,1.0,False
CHARLS,27,intercept_and_slope,0.05,100,100,1.0,3915,1566,1566,321,195.0,195.0,38.0,38.0,0.6632286153961641,0.15355246574194692,-0.008460610388444784,0.04382483216042047,0.12218369147529295,1.0733242889965686,0.24008872074969034,0.67,1.0,1.0,False
CHARLS,27,intercept_and_slope,0.1,100,100,1.0,3915,1566,1566,321,391.0,391.0,78.0,78.0,0.6632286153961641,0.1530049606623919,-0.009008115467999817,0.04203310216490539,0.08346107891192345,1.0954149055150935,0.15440202051640345,0.8,1.0,1.0,False
CHARLS,27,intercept_and_slope,0.2,100,100,1.0,3915,1566,1566,321,783.0,783.0,155.5,155.5,0.6632286153961641,0.1525638110346969,-0.009449265095694798,0.05254304621612824,0.06132077899106226,1.0875866060224109,0.10727370080519605,0.96,1.0,1.0,False
CHARLS,27,intercept_and_slope,0.3,100,100,1.0,3915,1566,1566,321,1174.0,1174.0,233.5,233.5,0.6632286153961641,0.1524528964012108,-0.009560179729180912,0.05012950727968098,0.05213877388221001,1.0664052505894794,0.078336863227085,0.99,1.0,1.0,True
CHARLS,27,intercept_and_slope,0.4,100,100,1.0,3915,1566,1566,321,1566.0,1566.0,311.0,311.0,0.6632286153961641,0.15240808786191562,-0.009604988268476083,0.054594012403494915,0.056578576219877295,1.0542662392103566,0.056178491239877726,1.0,1.0,1.0,True
CHARLS,27,intercept_and_slope,0.5,100,100,1.0,3915,1566,1566,321,1957.0,1957.0,389.0,389.0,0.6632286153961641,0.15242392899578067,-0.00958914713461105,0.05149939055512723,0.05149939055512723,1.0605791444774608,0.06057914447746082,1.0,1.0,1.0,True
CHARLS,27,intercept_and_slope,0.6,100,100,1.0,3915,1566,1566,321,2349.0,2349.0,466.0,466.0,0.6632286153961641,0.15242345594833548,-0.009589620182056224,0.052695731232032327,0.052695731232032327,1.0616913284688048,0.06169132846880476,1.0,1.0,1.0,True
CHARLS,27,intercept_only,0.05,100,100,1.0,3915,1566,1566,321,195.0,195.0,38.0,38.0,0.6632286153961641,0.15255965846679992,-0.009453417663591798,0.04501791667507346,0.11799348919167993,0.8868761887268813,0.11312381127311866,0.66,1.0,1.0,False
