cohort,method,calibration_fraction_total_persons,outer_splits,outer_tolerance_rate,fit_success_rate_median_across_outer,fit_success_rate_lower_95_outer,fit_success_rate_upper_95_outer,median_calibration_persons_median_across_outer,median_calibration_persons_lower_95_outer,median_calibration_persons_upper_95_outer,median_calibration_records_median_across_outer,median_calibration_records_lower_95_outer,median_calibration_records_upper_95_outer,median_calibration_events_median_across_outer,median_calibration_events_lower_95_outer,median_calibration_events_upper_95_outer,median_calibration_event_persons_median_across_outer,median_calibration_event_persons_lower_95_outer,median_calibration_event_persons_upper_95_outer,median_auc_median_across_outer,median_auc_lower_95_outer,median_auc_upper_95_outer,median_brier_median_across_outer,median_brier_lower_95_outer,median_brier_upper_95_outer,median_delta_brier_vs_raw_median_across_outer,median_delta_brier_vs_raw_lower_95_outer,median_delta_brier_vs_raw_upper_95_outer,median_citl_median_across_outer,median_citl_lower_95_outer,median_citl_upper_95_outer,median_abs_citl_median_across_outer,median_abs_citl_lower_95_outer,median_abs_citl_upper_95_outer,median_slope_median_across_outer,median_slope_lower_95_outer,median_slope_upper_95_outer,median_abs_slope_error_median_across_outer,median_abs_slope_error_lower_95_outer,median_abs_slope_error_upper_95_outer,proportion_abs_citl_le_0_20_median_across_outer,proportion_abs_citl_le_0_20_lower_95_outer,proportion_abs_citl_le_0_20_upper_95_outer,proportion_brier_within_plus_0_001_median_across_outer,proportion_brier_within_plus_0_001_lower_95_outer,proportion_brier_within_plus_0_001_upper_95_outer,proportion_brier_improved_median_across_outer,proportion_brier_improved_lower_95_outer,proportion_brier_improved_upper_95_outer
CHARLS,intercept_only,0.3,30,0.8666666666666667,1.0,1.0,1.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,237.0,220.9,244.0625,237.0,220.9,244.0625,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.14974646329921315,0.14396544607561715,0.16180481700567828,-0.00856401585495474,-0.011769879432621567,-0.005121499926702053,-0.0014257616391177789,-0.11384635557431842,0.18973976694447106,0.047819037377112544,0.03337704445617787,0.19107101226916642,0.8336349177744542,0.7381476121392276,0.9731962964175237,0.16636508222554575,0.03141642207058749,0.26185238786077225,1.0,0.5565,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHARLS,intercept_only,0.4,30,0.8333333333333334,1.0,1.0,1.0,1566.0,1566.0,1566.0,1566.0,1566.0,1566.0,316.0,292.8125,327.75,316.0,292.8125,327.75,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.14976384707849297,0.14401079849726559,0.16182731176954557,-0.008582430827253719,-0.011747384668754274,-0.005041953688154398,-0.003149122052117,-0.12343524540651744,0.1928869379338053,0.046715292373718895,0.022952290943065817,0.1951633223656983,0.8336349177744542,0.7381476121392276,0.9731962964175237,0.16636508222554575,0.03141642207058749,0.26185238786077225,1.0,0.5455000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHARLS,intercept_only,0.5,30,0.8666666666666667,1.0,1.0,1.0,1957.0,1957.0,1957.0,1957.0,1957.0,1957.0,393.5,368.8,408.66249999999997,393.5,368.8,408.66249999999997,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.14976489321369787,0.14397635438102854,0.16177466098960028,-0.00858561108529661,-0.011800035448699535,-0.005080764872826581,-0.0021314409469256833,-0.11904500752797764,0.18516014095951627,0.04953683944700333,0.015390929372719351,0.19122275523545154,0.8336349177744542,0.7381476121392276,0.9731962964175237,0.16636508222554575,0.03141642207058749,0.26185238786077225,1.0,0.6205,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHARLS,intercept_only,0.6,30,0.8666666666666667,1.0,1.0,1.0,2349.0,2349.0,2349.0,2349.0,2349.0,2349.0,473.5,440.35,490.84999999999997,473.5,440.35,490.84999999999997,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.1497588964301141,0.1439814525641222,0.161815879813977,-0.008587905008747093,-0.011758816624322847,-0.005074994890626563,-0.0034440407041025,-0.11969708734601633,0.19125219598623708,0.04797267167063948,0.00401050407191729,0.19172388643094834,0.8336349177744542,0.7381476121392276,0.9731962964175237,0.16636508222554575,0.03141642207058749,0.26185238786077225,1.0,0.7250000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHARLS,none,0.0,30,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.15784611849051822,0.1504615713816522,0.17357469643829984,0.0,0.0,0.0,0.7443291526103449,0.6734064075543502,0.8578566022956859,0.7443291526103449,0.6734064075543502,0.8578566022956859,0.8336349177744542,0.7381476121392276,0.9731962964175237,0.16636508222554575,0.03141642207058749,0.26185238786077225,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ELSA,intercept_and_slope,0.05,30,0.8333333333333334,1.0,1.0,1.0,430.0,430.0,430.0,1530.25,1511.45,1544.05,148.5,145.225,153.0,138.0,135.0,141.55,0.7486208383017121,0.7408315393047727,0.7606732869759633,0.07982262846294141,0.07771283147148657,0.08264255651661757,-0.0004174582166331618,-0.000697795376635403,-0.0001738474136293659,-0.005140573065012765,-0.06723750443281817,0.0753349566657758,0.06432160048209164,0.05169118854900632,0.09303947250556653,0.9995316599583374,0.9056771235732727,1.1219899758492988,0.0738010823426288,0.05721368785272661,0.12335790977141857,0.97,0.88,0.99,1.0,0.9672499999999999,1.0,0.925,0.72625,0.99
ELSA,intercept_and_slope,0.1,30,0.8666666666666667,1.0,1.0,1.0,860.0,860.0,860.0,3057.75,3024.25,3081.325,296.75,292.3625,301.9125,276.25,272.0,280.1375,0.7486208383017121,0.7408315393047727,0.7606732869759633,0.07974784900633725,0.07763822711794797,0.0825903399982789,-0.00046869822417913015,-0.000734657117035154,-0.00025664686980920347,-0.00363605790631911,-0.05414154175822642,0.06961714255025218,0.046890987428549274,0.035790478706475934,0.07564118769115695,1.0081736381668012,0.912705497591929,1.1160779821628075,0.05295845147378686,0.03776863669115174,0.11607798216280746,1.0,0.98,1.0,1.0,1.0,1.0,0.995,0.84725,1.0
ELSA,intercept_and_slope,0.2,30,0.9333333333333333,1.0,1.0,1.0,1721.0,1721.0,1721.0,6116.5,6052.0,6161.05,595.5,582.0875,605.1375,553.5,542.3625,561.1375,0.7486208383017121,0.7408315393047727,0.7606732869759633,0.07972252142788697,0.07762407875044774,0.08255397507233936,-0.0004981043034991348,-0.0007405557066258878,-0.0002635508858532391,-0.004738845425653803,-0.06555391362480154,0.07022925166979484,0.032159682964917745,0.020065473762987854,0.07115388533805601,1.0120442834070476,0.92003746213817,1.1215777850862623,0.03656295827416697,0.02829274334811224,0.12157778508626234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969,1.0
ELSA,intercept_and_slope,0.3,30,0.9,1.0,1.0,1.0,2582.0,2582.0,2582.0,9177.5,9075.5375,9242.95,892.25,875.9,908.775,830.0,814.8625,841.9125,0.7486208383017121,0.7408315393047727,0.7606732869759633,0.07971885785241858,0.07761299229171503,0.0825360479113938,-0.0005029603783712686,-0.0007578271936047029,-0.0002697444045386046,-0.008991140478326658,-0.066533430757094,0.06706998834985854,0.028060584705187342,0.016350346443383137,0.07002903553023677,1.0103066076031428,0.919068499702787,1.1172193359141407,0.03359659553885663,0.017241847594107254,0.11721933591414069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99725,1.0
ELSA,intercept_and_slope,0.4,30,0.9333333333333333,1.0,1.0,1.0,3443.0,3443.0,3443.0,12241.0,12118.675,12337.425,1190.0,1167.975,1211.275,1107.5,1088.5375,1121.7375,0.7486208383017121,0.7408315393047727,0.7606732869759633,0.07971385065388484,0.07761509347492906,0.08253986445968915,-0.000508753976103983,-0.0007579033329209454,-0.00028618646626856435,-0.0061183388567958,-0.06694751189137893,0.07109911446512003,0.023195787310591545,0.01268399625286835,0.07164714030246103,1.0100392527578619,0.9196043929428831,1.1197947407014688,0.03161907170242123,0.014348060054984275,0.11979474070146878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
